順位	キャラ名	character name	票数	昨年票数	増減
1	ルック	Luc	513	422	+91
2	テッド	Ted	392	273	+119
3	4主人公【4様】	Lazlo	287	207	+80
4	2主人公【2主】	Riou	251	212	+39
5	フリック	Flik	221	227	-6
6	グレミオ	Gremio	152	193	-41
7	ビクトール	Viktor	133	122	+11
8	ジョウイ・アトレイド（ブライト）	Jowy	122	97	+25
9	ルカ・ブライト	Luca	106	106	0
10	ナッシュ・ラトキエ（クロービス）	Nash Latkje	90	78	+12
11	ササライ	Sasarai	84	101	-17
12	ナナミ	Nanami	77	70	+7
13	ゲオルグ・プライム	Georg	75	60	+15
14	シーナ	Sheena	73	71	+2
14	フッチ	Futch	73	62	+11
14	マイクロトフ	Miklotov	73	81	-8
15	シュウ	Shu	63	47	+16
16	クライブ	Clive	62	56	+6
17	キニスン	Kinnison	51	53	-2
17	スタリオン	Stallion	51	61	-10
18	シエラ・ミケーネ	Sierra Mikain	50	38	+12
19	5主人公【王子】	Freyjadour	47	33	+14
19	カミュー	Camus	47	29	+18
20	シード	Seed	44	64	-20
21	ゲド	Geddoe	43	40	+3
22	カイル	Kyle	40	39	+1
23	マッシュ・シルバーバーグ	Mathiu	38	26	+12
24	トーマス	Thomas	36	33	+3
25	クリス・ライトフェロー	Chris	34	25	+9
25	シーザー・シルバーバーグ	Caesar	34	31	+3
26	ビッキー	Viki	33	26	+7
27	オデッサ・シルバーバーグ	Odessa	31	9	+22
28	スノウ・フィンガーフート	Snowe	27	23	+4
29	クラウス・ウィンダミア	Klaus	25	17	+8
29	セラ	Sarah	25	20	+5
29	ヤム・クー	Yam Koo	25	20	+5
29	ルクレティア・メルセス	Lucretia	25	4	+21
30	キリル	Kyril	23	13	+10
31	ジャック	Jacques	22	14	+8
32	カスミ	Kasumi	21	11	+10
32	ヒューゴ	Hugo	21	24	-3
32	ロイ	Roy	21	14	+7
33	ユーバー	Yuber	20	33	-13
34	ザムザ	Zamza	19	13	+6
35	ティアクライス主人公【団長】	Sieg	18	21	-3
35	リウ・シエン	Liu-Shen	18	17	+1
36	アルベルト・シルバーバーグ	Albert	16	22	-6
36	ムクムク	Mukumuku	16	3	+13
36	リヒャルト	Richard	16	17	-1
37	クルガン	Culgan	15	19	-4
37	炎の英雄	Flame Champion	15	12	+3
38	ミアキス	Miakis	14	9	+5
38	ロベルト	Roberto	14	8	+6
39	サスケ	Sasuke	13	5	+8
39	ジョー軍曹	Sgt. Joe	13	8	+5
39	タイ・ホー	Tai Ho	13	4	+9
39	テンガアール	Tengaar	13	7	+6
39	ボルス・レッドラム	Borus	13	7	+6
39	リッチモンド	Richmond	13	4	+9
